#Poundsign#,A House Full Of Friends,2005,Camera,391.00036
#Poundsign#,sevensummers - international pop volume two,2000,Ayso,246.12526
$jammie the Money,Some Tunes 2,2008,Don't Front,295.96689
$jammie the Money,Split 1 / $jammie the money,2008,Getting warm,269.40036
'Til Tuesday,Coming Up Close: A Retrospective,1986,David Denies,290.19383
'Til Tuesday,Coming Up Close: A Retrospective,1988,Why Must I,217.52118
'Til Tuesday,Everything's Different Now,1988,(Believed You Were) Lucky,218.43546
'Til Tuesday,Everything's Different Now,1988,Why Must I,221.59628
'Til Tuesday,Welcome Home,1986,Will She Just Fall Down,172.66893
(Love) Tattoo,Drop Some Drums,2001,Drop Some Drums (Ivan And Phil's Dark Alley Remix) (Edit),530.80771
(Love) Tattoo,Drop Some Drums,2001,Drop Some Drums (Superchumbo's Volta Mix),518.81751
(We Are) Performance,(We Are) Performance,2007,The Ending,232.01914
(We Are) Performance,(We Are) Performance,2007,Vandals,243.85261
1 Mile North,Minor Shadows,2003,The Manual,778.26567
1 Mile North,Minor Shadows,2003,The Sick,372.94975
Coldplay,A Rush Of Blood To The Head,2002,Amsterdam,319.39873
Coldplay,A Rush Of Blood To The Head,2002,Clocks,307.51302
Daft Punk,Alive 2007,2007,Robot Rock / Oh Yeah,387.39546
Daft Punk,Alive 2007,2007,Touch It / Technologic,329.45587
Daft Punk,Alive 2007,2007,Television Rules The Nation / Crescendolls,290.76853
Daft Punk,Alive 2007,2007,Too Long / Steam Machine,421.43302
Daft Punk,Alive 1997,2001,Daft Punk - Alive 1997,2730.21342
Daft Punk,Alive 2007,2007,Around The World / Harder Better Faster Stronger,342.54322
Daft Punk,Alive 2007,2007,Burnin' / Too Long,431.43791
Daft Punk,Alive 2007,2007,Face To Face / Short Circuit,295.13098
Daft Punk,Alive 2007,2007,One More Time / Aerodynamic,370.442
Daft Punk,Alive 2007,2007,Aerodynamic Beats / Gabrielle _ Forget About The World,211.66975
Daft Punk,Alive 2007,2007,Prime Time Of Your Life / Brainwasher /Rollin 'and Scratchin' / Alive,622.44526
Daft Punk,Alive 2007,2007,Da Funk / Dadftendirekt,396.82567
Daft Punk,Alive 2007,2007,Superheroes / Human After All / Rock'n Roll,340.03546
Daft Punk,Around The World,1996,Around The World (Motorbass Vice Mix),396.45995
Daft Punk,Around The World,1997,Teachers (Extended Mix),353.17506
Daft Punk,Burnin',1997,Burnin' (Edit version),228.33587
Daft Punk,Burnin',1997,Burnin' (Ian Pooley cut up mix),320.86159
Daft Punk,Burnin',1997,Burnin' (Slam mix),407.19628
Daft Punk,DA FUNK,1997,Da Funk (Radio Edit),229.8771
Daft Punk,DIGITAL LOVE,2001,Digital Dub,299.54567
Daft Punk,Daft Club,2001,Ouverture,159.4771
Daft Punk,Daft Club,2003,Aerodynamic (Daft Punk Remix),369.34485
Daft Punk,Daft Club,2003,Harder Better Faster Stronger (The Neptunes Remix),310.96118
Daft Punk,Daft Club,2003,Face To Face (Cosmo VItelli Remix),293.45914
Daft Punk,Daft Club,2001,Phoenix (Basement Jaxx Remix),472.05832
Daft Punk,Daft Club,2003,Digital Love (Boris Dlugosh Remix),449.17506
Daft Punk,Daft Club,2003,Harder Better Faster Stronger (Jess And Crabbe Mix),359.49669
Daft Punk,Daft Club,2003,Face To Face (Demon Remix),418.55955
Daft Punk,Daft Club,2003,Crescendolls (Laidback Remix),324.38812
Daft Punk,Daft Club,2001,Aerodynamic (Slum Village Remix),217.52118
Daft Punk,Daft Club,2003,Too Long (Gonzales Version),193.04444
Daft Punk,Daft Club,2001,Aerodynamite,467.98322
Daft Punk,Daft Club,2003,One More Time (Romanthony's Unplugged),218.64444
Daft Punk,Discovery,2001,Aerodynamic,207.59465
Daft Punk,Discovery,2001,Crescendolls,211.69587
Daft Punk,Discovery,2001,Face To Face,239.80363
Daft Punk,Discovery,2007,Harder Better Faster Stronger,223.60771
Daft Punk,Discovery,2001,High Life,200.202
Daft Punk,Discovery,2001,Nightvision,104.51546
Daft Punk,Discovery,2001,Short Circuit,206.15791
Daft Punk,Discovery,2001,Something About Us,229.14567
Daft Punk,Discovery,2001,Superhereos,237.84444
Daft Punk,Discovery,2001,Too Long,599.24853
Daft Punk,Discovery,2001,Veridis Quo,344.94649
Daft Punk,Discovery,2001,Voyager,227.91791
Daft Punk,Harder Better Faster Stronger,0,Harder Better Faster Stronger ( Breakers Break Remix),278.88281
Daft Punk,Harder Better Faster Stronger,0,Harder Better Faster Stronger ( Pete Hellers Stylus),554.91873
Daft Punk,Harder Better Faster Stronger,0,Harder Better Faster Stronger (The Neptunes Remix),312.55465
Daft Punk,Harder Better Faster Stronger (Alive 2007),0,Harder Better Faster Stronger (Alive Extended 2007),281.88689
Daft Punk,Harder Better Faster Stronger (Alive 2007),0,Harder Better Faster Stronger (Alive Radio Edit 2007),213.28934
Daft Punk,Homework,1995,Da Funk,329.53424
Daft Punk,Homework,1996,Fresh,244.45342
Daft Punk,Homework,1997,Funk Ad,51.46077
Daft Punk,Homework,1996,Indo Silver Club,274.78159
Daft Punk,Homework,1996,Revolution 909,326.63465
Daft Punk,Homework,1996,Rock'n Roll,453.92934
Daft Punk,Homework,1996,Wdpk 837 Fm,28.39465
Daft Punk,Human After All,2005,Emotion,416.522
Daft Punk,Human After All,2005,Human After All  (Emperor Machine Version ),363.15383
Daft Punk,Human After All,2005,"Human After All (""Guy-Man After All ""- Justice Remix)",239.80363
Daft Punk,Human After All,2005,Human After All (Alter Ego Remix ),564.34893
Daft Punk,Human After All,2005,Human After All (SebastiAn Remix ),286.6673
Daft Punk,Human After All,2005,Human After All (The Juan Mclean Remix ),402.59873
Daft Punk,Human After All,2005,On/Off,19.17342
Daft Punk,Human After All,2005,Steam Machine,321.04444
Daft Punk,Human After All,2005,Technologic,283.19302
Daft Punk,Human After All,2005,Television Rules The Nation,286.24934
Daft Punk,Human After All,2005,The Brainwasher,247.84934
Daft Punk,Human After All,2005,The Prime Time Of Your Life,263.18322
Daft Punk,Human After All,2005,The Prime Time Of Your Life,263.00036
Daft Punk,Human After All (Medley),2005,Human After All,199.94077
Daft Punk,Manual Release,0,The Prime Time Of Your Life & Aerodynamic Breakdown,117.99465
Daft Punk,Ministry of Sound Presents Chilled II 1991-2009,2001,Digital Love,297.89995
Daft Punk,Musique Vol 1,1994,Alive,316.31628
Daft Punk,Musique Vol 1,1996,Around The World (Radio Edit),239.35955
Daft Punk,Musique Vol 1,2005,Human After All,319.42485
Daft Punk,Musique Vol 1,1996,Musique,413.64853
Daft Punk,Musique Vol 1,2000,One More Time (Short Radio Edit),236.38159
Daft Punk,Musique Vol 1,2005,Robot Rock,287.68608
Daft Punk,Musique Vol 1,1995,Rollin' & Scratchin',448.46975
Daft Punk,Musique Vol 1,2005,Technologic (Radio Edit),166.24281
Daft Punk,Something About US (Love Theme From Interstella),2003,Something About Us (Love Theme From Interstella 5555),134.97424
Eminem,The Slim Shady LP,1999,My Name Is,268.5122
Eminem,The Slim Shady LP,1999,Public Service Announcement,33.27955
Eminem,The Slim Shady LP,1999,Rock Bottom,214.12526
Fall Out Boy,Infinity On High,2007,Fame < Infamy,186.06975
Fall Out Boy,Infinity On High,2007,G.I.N.A.S.F.S.,195.05587
Fall Out Boy,Infinity On High,2007,Golden,152.45016
Gorillaz,Gorillaz,2001,New Genius (Brother),239.01995
Gorillaz,Gorillaz,2000,Punk,96.67873
